gene:Zm00001eb000250 gene:Zm00001eb000290
gene:Zm00001eb000370 gene:Zm00001eb000380
gene:Zm00001eb000440 gene:Zm00001eb000450
gene:Zm00001eb000720 gene:Zm00001eb000750
gene:Zm00001eb001780 gene:Zm00001eb001810
gene:Zm00001eb002710 gene:Zm00001eb002730
gene:Zm00001eb002700 gene:Zm00001eb002720
gene:Zm00001eb002780 gene:Zm00001eb002790
gene:Zm00001eb002780 gene:Zm00001eb002800
gene:Zm00001eb002790 gene:Zm00001eb002800
gene:Zm00001eb002790 gene:Zm00001eb002810
gene:Zm00001eb002800 gene:Zm00001eb002810
gene:Zm00001eb003000 gene:Zm00001eb003010
gene:Zm00001eb003000 gene:Zm00001eb003020
gene:Zm00001eb003010 gene:Zm00001eb003020
gene:Zm00001eb003230 gene:Zm00001eb003240
gene:Zm00001eb003230 gene:Zm00001eb003290
gene:Zm00001eb003240 gene:Zm00001eb003290
gene:Zm00001eb003450 gene:Zm00001eb003460
gene:Zm00001eb003600 gene:Zm00001eb003610
gene:Zm00001eb003600 gene:Zm00001eb003620
gene:Zm00001eb003610 gene:Zm00001eb003620
gene:Zm00001eb003610 gene:Zm00001eb003630
gene:Zm00001eb003620 gene:Zm00001eb003630
gene:Zm00001eb003620 gene:Zm00001eb003650
gene:Zm00001eb003630 gene:Zm00001eb003650
gene:Zm00001eb003910 gene:Zm00001eb003920
gene:Zm00001eb004810 gene:Zm00001eb004830
gene:Zm00001eb004830 gene:Zm00001eb004850
gene:Zm00001eb004840 gene:Zm00001eb004850
gene:Zm00001eb004840 gene:Zm00001eb004860
gene:Zm00001eb004850 gene:Zm00001eb004860
gene:Zm00001eb004850 gene:Zm00001eb004880
gene:Zm00001eb004970 gene:Zm00001eb004980
gene:Zm00001eb005500 gene:Zm00001eb005540
gene:Zm00001eb005850 gene:Zm00001eb005860
gene:Zm00001eb005980 gene:Zm00001eb006000
gene:Zm00001eb005990 gene:Zm00001eb006000
gene:Zm00001eb006160 gene:Zm00001eb006180
gene:Zm00001eb006180 gene:Zm00001eb006200
gene:Zm00001eb006410 gene:Zm00001eb006430
gene:Zm00001eb006420 gene:Zm00001eb006440
gene:Zm00001eb006630 gene:Zm00001eb006640
gene:Zm00001eb006760 gene:Zm00001eb006770
gene:Zm00001eb006900 gene:Zm00001eb006910
gene:Zm00001eb007330 gene:Zm00001eb007340
gene:Zm00001eb007330 gene:Zm00001eb007350
gene:Zm00001eb007340 gene:Zm00001eb007350
gene:Zm00001eb007340 gene:Zm00001eb007360
gene:Zm00001eb007350 gene:Zm00001eb007360
gene:Zm00001eb007350 gene:Zm00001eb007370
gene:Zm00001eb007360 gene:Zm00001eb007370
gene:Zm00001eb007360 gene:Zm00001eb007390
gene:Zm00001eb007370 gene:Zm00001eb007390
gene:Zm00001eb007380 gene:Zm00001eb007390
gene:Zm00001eb007380 gene:Zm00001eb007400
gene:Zm00001eb007390 gene:Zm00001eb007400
gene:Zm00001eb007390 gene:Zm00001eb007410
gene:Zm00001eb007400 gene:Zm00001eb007410
gene:Zm00001eb007400 gene:Zm00001eb007420
gene:Zm00001eb007410 gene:Zm00001eb007420
gene:Zm00001eb007410 gene:Zm00001eb007430
gene:Zm00001eb007420 gene:Zm00001eb007430
gene:Zm00001eb008070 gene:Zm00001eb008080
gene:Zm00001eb008160 gene:Zm00001eb008170
gene:Zm00001eb008200 gene:Zm00001eb008250
gene:Zm00001eb008270 gene:Zm00001eb008290
gene:Zm00001eb008280 gene:Zm00001eb008300
gene:Zm00001eb008980 gene:Zm00001eb009010
gene:Zm00001eb009610 gene:Zm00001eb009630
gene:Zm00001eb009900 gene:Zm00001eb009920
gene:Zm00001eb009930 gene:Zm00001eb009940
gene:Zm00001eb009930 gene:Zm00001eb009950
gene:Zm00001eb009940 gene:Zm00001eb009950
gene:Zm00001eb009980 gene:Zm00001eb009990
gene:Zm00001eb010000 gene:Zm00001eb010010
gene:Zm00001eb010130 gene:Zm00001eb010140
gene:Zm00001eb011110 gene:Zm00001eb011120
gene:Zm00001eb011120 gene:Zm00001eb011140
gene:Zm00001eb011210 gene:Zm00001eb011220
gene:Zm00001eb011240 gene:Zm00001eb011250
gene:Zm00001eb011320 gene:Zm00001eb011330
gene:Zm00001eb011880 gene:Zm00001eb011900
gene:Zm00001eb011900 gene:Zm00001eb011930
gene:Zm00001eb012470 gene:Zm00001eb012510
gene:Zm00001eb012790 gene:Zm00001eb012800
gene:Zm00001eb012910 gene:Zm00001eb012920
gene:Zm00001eb012910 gene:Zm00001eb012930
gene:Zm00001eb012920 gene:Zm00001eb012930
gene:Zm00001eb013320 gene:Zm00001eb013330
gene:Zm00001eb013990 gene:Zm00001eb014000
gene:Zm00001eb013990 gene:Zm00001eb014010
gene:Zm00001eb014000 gene:Zm00001eb014010
gene:Zm00001eb014060 gene:Zm00001eb014070
gene:Zm00001eb014060 gene:Zm00001eb014080
gene:Zm00001eb014070 gene:Zm00001eb014080
gene:Zm00001eb014260 gene:Zm00001eb014280
gene:Zm00001eb014260 gene:Zm00001eb014290
gene:Zm00001eb014280 gene:Zm00001eb014290
gene:Zm00001eb014280 gene:Zm00001eb014320
gene:Zm00001eb014290 gene:Zm00001eb014320
gene:Zm00001eb014290 gene:Zm00001eb014350
gene:Zm00001eb014320 gene:Zm00001eb014350
gene:Zm00001eb014320 gene:Zm00001eb014370
gene:Zm00001eb014350 gene:Zm00001eb014370
gene:Zm00001eb014350 gene:Zm00001eb014390
gene:Zm00001eb014370 gene:Zm00001eb014390
gene:Zm00001eb014370 gene:Zm00001eb014420
gene:Zm00001eb014390 gene:Zm00001eb014420
gene:Zm00001eb014390 gene:Zm00001eb014430
gene:Zm00001eb014420 gene:Zm00001eb014430
gene:Zm00001eb014680 gene:Zm00001eb014700
gene:Zm00001eb014950 gene:Zm00001eb014960
gene:Zm00001eb015520 gene:Zm00001eb015530
gene:Zm00001eb015600 gene:Zm00001eb015610
gene:Zm00001eb016250 gene:Zm00001eb016290
gene:Zm00001eb016260 gene:Zm00001eb016300
gene:Zm00001eb016390 gene:Zm00001eb016410
gene:Zm00001eb016480 gene:Zm00001eb016490
gene:Zm00001eb016480 gene:Zm00001eb016510
gene:Zm00001eb016490 gene:Zm00001eb016510
gene:Zm00001eb016490 gene:Zm00001eb016530
gene:Zm00001eb016510 gene:Zm00001eb016530
gene:Zm00001eb016870 gene:Zm00001eb016920
gene:Zm00001eb016880 gene:Zm00001eb016920
gene:Zm00001eb017280 gene:Zm00001eb017290
gene:Zm00001eb017350 gene:Zm00001eb017400
gene:Zm00001eb017620 gene:Zm00001eb017640
gene:Zm00001eb017660 gene:Zm00001eb017670
gene:Zm00001eb017730 gene:Zm00001eb017760
gene:Zm00001eb017930 gene:Zm00001eb017950
gene:Zm00001eb017950 gene:Zm00001eb017960
gene:Zm00001eb018030 gene:Zm00001eb018040
gene:Zm00001eb018210 gene:Zm00001eb018240
gene:Zm00001eb018230 gene:Zm00001eb018250
gene:Zm00001eb018240 gene:Zm00001eb018260
gene:Zm00001eb018250 gene:Zm00001eb018270
gene:Zm00001eb018430 gene:Zm00001eb018440
gene:Zm00001eb018540 gene:Zm00001eb018550
gene:Zm00001eb018630 gene:Zm00001eb018640
gene:Zm00001eb018630 gene:Zm00001eb018660
gene:Zm00001eb018640 gene:Zm00001eb018660
gene:Zm00001eb018730 gene:Zm00001eb018750
gene:Zm00001eb018830 gene:Zm00001eb018840
gene:Zm00001eb018900 gene:Zm00001eb018910
gene:Zm00001eb018900 gene:Zm00001eb018930
gene:Zm00001eb018910 gene:Zm00001eb018930
