gene:Zm00001eb023400	gene:SORBI_3001G300500
gene:Zm00001eb023140	gene:SORBI_3001G302900
gene:Zm00001eb023130	gene:SORBI_3001G303000
gene:Zm00001eb023120	gene:SORBI_3001G303100
gene:Zm00001eb023110	gene:SORBI_3001G303200
gene:Zm00001eb023100	gene:SORBI_3001G303300
gene:Zm00001eb023090	gene:SORBI_3001G303600
gene:Zm00001eb023080	gene:SORBI_3001G304000
gene:Zm00001eb023070	gene:SORBI_3001G304100
gene:Zm00001eb023060	gene:SORBI_3001G304201
gene:Zm00001eb023040	gene:SORBI_3001G304300
gene:Zm00001eb023020	gene:SORBI_3001G304400
gene:Zm00001eb023010	gene:SORBI_3001G304500
gene:Zm00001eb022980	gene:SORBI_3001G304700
gene:Zm00001eb022970	gene:SORBI_3001G304800
gene:Zm00001eb022960	gene:SORBI_3001G305200
gene:Zm00001eb022950	gene:SORBI_3001G305300
gene:Zm00001eb022940	gene:SORBI_3001G305500
gene:Zm00001eb022930	gene:SORBI_3001G305600
gene:Zm00001eb022920	gene:SORBI_3001G305800
gene:Zm00001eb022910	gene:SORBI_3001G305900
gene:Zm00001eb022810	gene:SORBI_3001G306000
gene:Zm00001eb022790	gene:SORBI_3001G306400
gene:Zm00001eb022760	gene:SORBI_3001G308100
gene:Zm00001eb022750	gene:SORBI_3001G308300
gene:Zm00001eb022740	gene:SORBI_3001G308400
gene:Zm00001eb022730	gene:SORBI_3001G308600
gene:Zm00001eb022720	gene:SORBI_3001G308700
gene:Zm00001eb022710	gene:SORBI_3001G309000
gene:Zm00001eb022680	gene:SORBI_3001G309100
gene:Zm00001eb022670	gene:SORBI_3001G309200
gene:Zm00001eb022660	gene:SORBI_3001G309300
gene:Zm00001eb022650	gene:SORBI_3001G309400
gene:Zm00001eb022630	gene:SORBI_3001G309600
gene:Zm00001eb022580	gene:SORBI_3001G309900
gene:Zm00001eb022540	gene:SORBI_3001G310300
gene:Zm00001eb022470	gene:SORBI_3001G310400
gene:Zm00001eb022440	gene:SORBI_3001G310700
gene:Zm00001eb022410	gene:SORBI_3001G311000
gene:Zm00001eb022400	gene:SORBI_3001G311100
gene:Zm00001eb022380	gene:SORBI_3001G311800
gene:Zm00001eb022360	gene:SORBI_3001G311900
gene:Zm00001eb022330	gene:SORBI_3001G312500
gene:Zm00001eb022280	gene:SORBI_3001G312600
gene:Zm00001eb022250	gene:SORBI_3001G312700
