gene:Os01g0106300 gene:Os01g0106400
gene:Os01g0108400 gene:Os01g0108600
gene:Os01g0112800 gene:Os01g0113150
gene:Os01g0113200 gene:Os01g0113300
gene:Os01g0113300 gene:Os01g0113400
gene:Os01g0113350 gene:Os01g0113650
gene:Os01g0113400 gene:Os01g0113700
gene:Os01g0113500 gene:Os01g0113800
gene:Os01g0113700 gene:Os01g0113900
gene:Os01g0113800 gene:Os01g0114100
gene:Os01g0113900 gene:Os01g0114100
gene:Os01g0114100 gene:Os01g0114400
gene:Os01g0114400 gene:Os01g0114600
gene:Os01g0114700 gene:Os01g0114900
gene:Os01g0115500 gene:Os01g0115700
gene:Os01g0115566 gene:Os01g0115750
gene:Os01g0115600 gene:Os01g0115700
gene:Os01g0115600 gene:Os01g0115750
gene:Os01g0115700 gene:Os01g0115750
gene:Os01g0115750 gene:Os01g0115800
gene:Os01g0115950 gene:Os01g0116101
gene:Os01g0115800 gene:Os01g0116000
gene:Os01g0116000 gene:Os01g0116200
gene:Os01g0116200 gene:Os01g0116400
gene:Os01g0116400 gene:Os01g0116900
gene:Os01g0116650 gene:Os01g0116901
gene:Os01g0116900 gene:Os01g0116800
gene:Os01g0116800 gene:Os01g0117000
gene:Os01g0116901 gene:Os01g0117025
gene:Os01g0117000 gene:Os01g0117100
gene:Os01g0117100 gene:Os01g0117200
gene:Os01g0117100 gene:Os01g0117300
gene:Os01g0117200 gene:Os01g0117400
gene:Os01g0117300 gene:Os01g0117400
gene:Os01g0117300 gene:Os01g0117500
gene:Os01g0117400 gene:Os01g0117600
gene:Os01g0117450 gene:Os01g0117650
gene:Os01g0117500 gene:Os01g0117700
gene:Os01g0117600 gene:Os01g0117700
gene:Os01g0118400 gene:Os01g0118600
gene:Os01g0118400 gene:Os01g0118700
gene:Os01g0118600 gene:Os01g0118700
gene:Os01g0118600 gene:Os01g0119000
gene:Os01g0118700 gene:Os01g0119000
gene:Os01g0118700 gene:Os01g0119100
gene:Os01g0119000 gene:Os01g0119100
gene:Os01g0121950 gene:Os01g0122000
gene:Os01g0123500 gene:Os01g0123700
gene:Os01g0123900 gene:Os01g0124000
gene:Os01g0123900 gene:Os01g0124100
gene:Os01g0124000 gene:Os01g0124100
gene:Os01g0124000 gene:Os01g0124200
gene:Os01g0124100 gene:Os01g0124200
gene:Os01g0124100 gene:Os01g0124401
gene:Os01g0124200 gene:Os01g0124401
gene:Os01g0124200 gene:Os01g0124600
gene:Os01g0124401 gene:Os01g0124600
gene:Os01g0124600 gene:Os01g0124650
gene:Os01g0125000 gene:Os01g0125500
gene:Os01g0126100 gene:Os01g0126200
gene:Os01g0126200 gene:Os01g0126900
gene:Os01g0126900 gene:Os01g0127000
gene:Os01g0126900 gene:Os01g0127200
gene:Os01g0127000 gene:Os01g0127200
gene:Os01g0128100 gene:Os01g0128200
gene:Os01g0131900 gene:Os01g0132000
gene:Os01g0133600 gene:Os01g0133700
gene:Os01g0133650 gene:Os01g0133799
gene:Os01g0134800 gene:Os01g0134900
gene:Os01g0135800 gene:Os01g0135900
gene:Os01g0135800 gene:Os01g0136000
gene:Os01g0135900 gene:Os01g0136000
gene:Os01g0136000 gene:Os01g0136100
gene:Os01g0136000 gene:Os01g0136200
gene:Os01g0136100 gene:Os01g0136200
gene:Os01g0136450 gene:Os01g0136500
gene:Os01g0136700 gene:Os01g0136800
gene:Os01g0136900 gene:Os01g0137400
gene:Os01g0136900 gene:Os01g0137250
gene:Os01g0137400 gene:Os01g0137200
gene:Os01g0137250 gene:Os01g0137500
gene:Os01g0137500 gene:Os01g0137950
gene:Os01g0137950 gene:Os01g0138300
gene:Os01g0138300 gene:Os01g0138400
gene:Os01g0140700 gene:Os01g0141000
gene:Os01g0141100 gene:Os01g0141300
gene:Os01g0143300 gene:Os01g0143700
gene:Os01g0143700 gene:Os01g0143800
gene:Os01g0144800 gene:Os01g0145200
gene:Os01g0145000 gene:Os01g0146200
gene:Os01g0145200 gene:Os01g0146200
gene:Os01g0145600 gene:Os01g0146101
gene:Os01g0147400 gene:Os01g0147700
gene:Os01g0149350 gene:Os01g0149500
gene:Os01g0149400 gene:Os01g0149600
gene:Os01g0150200 gene:Os01g0150400
gene:Os01g0150200 gene:Os01g0150500
gene:Os01g0150400 gene:Os01g0150500
gene:Os01g0150400 gene:Os01g0150800
gene:Os01g0150500 gene:Os01g0150800
gene:Os01g0151400 gene:Os01g0151500
