Index1,Corr_Value1,Index2,Corr_Value2
1,0.7165023545427088,1.0,0.7121728250009915
2,0.7037448383368863,2.0,0.7536636697346346
3,0.7633012542901582,3.0,0.7563904882430491
4,0.9083379772265765,4.0,0.6638950945214
5,0.7855254859771784,5.0,0.5871719038840582
6,0.7996457210693456,6.0,0.855458026583879
7,0.8940437390746633,7.0,0.47856818276802704
8,0.9490865328843067,8.0,0.8140676804173456
9,0.7957903807110602,9.0,0.7029725846775648
10,0.8231769275937644,10.0,0.6891012730753243
11,0.7192417103719326,11.0,0.8655718982057076
12,0.7821323934198519,12.0,0.6004296824297731
13,0.7087524927804681,13.0,0.4457762700035928
14,0.7517481119724648,14.0,0.5931410479896314
15,0.7536260737378712,15.0,0.5527441287116551
16,0.6595125640341468,16.0,0.8236550318851086
17,0.8825484125657455,17.0,0.6542101472619462
18,0.6106418924571152,18.0,0.6164124714662073
19,0.768389504702357,19.0,0.5058991803246244
20,0.8366102852330534,20.0,0.7677126986738484
21,0.8383883473502131,21.0,0.8285052626705545
22,0.7769469205520758,22.0,0.8883070108187329
23,0.717559934847616,23.0,0.6886718533098044
24,0.7788263322564133,24.0,0.8541787581631463
25,0.7917940153059345,25.0,0.9354777722874268
26,0.7528231543258377,26.0,0.7601707631638823
27,0.8087101167584982,27.0,0.6733116247942549
28,0.7568754716613056,28.0,0.6582211949425416
29,0.846182955973983,29.0,0.7244968123901935
30,0.8123311058057223,30.0,0.49934872035864675
31,0.8038153490931843,31.0,0.6942213283057951
32,0.5330101108442472,32.0,0.6251671343807275
33,0.8312335621382196,33.0,0.7142947937822655
34,0.8154344589767012,34.0,0.6284631149462306
35,0.7887129486168203,35.0,0.6840468221653917
36,0.7777433113917764,36.0,0.47597963796763637
37,0.9171927207655854,37.0,0.42960265970608785
38,0.863354531513425,38.0,0.6252109408134878
39,0.8308504892074026,39.0,0.7066548775827989
40,0.7953223570592636,40.0,0.5436112492214943
41,0.8855586645774615,41.0,0.8140244506455543
42,0.70104034787088,42.0,0.875085765702346
43,0.6004437815197872,43.0,0.639814266963095
44,0.7212054692887028,44.0,0.7080556540712502
45,0.7533914689410106,45.0,0.6231691204270455
46,0.6888346782631084,46.0,0.7963762136040311
47,0.6258669362047056,47.0,0.8053358039482416
48,0.829606731080513,48.0,0.40516783527924277
49,0.6788090376397065,49.0,0.7695910173955797
50,0.7388865252831606,50.0,0.8253795822311372
51,0.762545513687543,51.0,0.8180858839082386
52,0.7519954712670293,52.0,0.804082221643933
53,0.8070630478706509,53.0,0.7142475627222336
54,0.7396981358345665,54.0,0.7945702241672951
55,0.7320098575875525,55.0,0.7425810406029828
56,0.8471029595770625,56.0,0.8000527968733708
57,0.6560954650333295,57.0,0.41654428769421015
58,0.6683819537029939,58.0,0.5997757045179093
59,0.8055328679870648,59.0,0.9084735543885852
60,0.5196693627986774,60.0,0.8390127098376794
61,0.8362925468035142,61.0,0.8510147696604261
62,0.5808062785999453,62.0,0.5207462082567369
63,0.7991175506947544,63.0,0.9352219483014599
64,0.721953387571792,64.0,0.726121935533899
65,0.7106560206725759,65.0,0.55121487701844
66,0.8622099578530369,66.0,0.43220294305858176
67,0.5446812880614311,67.0,0.7258767603981916
68,0.8252087822987397,68.0,0.7553272917415659
69,0.849107655684496,69.0,0.6359022634310573
70,0.7681510024846662,70.0,0.7815878279817409
71,0.7393175025277802,71.0,0.4947637745438291
72,0.823899490956604,72.0,0.8460845356129837
73,0.5984524789999084,73.0,0.8066862302585335
74,0.6309218712847561,74.0,0.8340656880486667
75,0.6923954757799602,75.0,0.7748633002721433
76,0.7786305975523956,76.0,0.7089555289206554
77,0.7788376155991181,77.0,0.8354252426225797
78,0.8269885179719917,78.0,0.8157690649873693
79,0.8179381542858146,79.0,0.7141858325146496
80,0.8759694129867381,80.0,0.7912434694419681
81,0.920601433935957,81.0,0.5438803641311784
82,0.5902785647298439,82.0,0.696482032332738
83,0.7596664695209404,83.0,0.7659157532437783
84,0.7207303432055113,84.0,0.38737466273202276
85,0.8738783739575953,85.0,0.7110341709995536
86,0.8745350169183307,86.0,0.6625066518124684
87,0.7576977414814778,87.0,0.5617000636039761
88,0.8601824166763237,88.0,0.7683458664984634
89,0.6961227624820909,89.0,0.5701387760833059
90,0.8112685219148404,90.0,0.48985364671951753
91,0.9083842121066084,91.0,0.5646425256314901
92,0.8315893977500163,92.0,0.823590657668623
93,0.803865539364163,93.0,0.7338639442856275
94,0.7537326472496185,94.0,0.5508147870650277
95,0.5056492723073678,95.0,0.731672038604457
96,0.7769544583390294,96.0,0.7356681748976458
97,0.6206717232630672,97.0,0.8972126882096114
98,0.7845398860139544,98.0,0.7284038050350472
99,0.7626381997590163,99.0,0.5913925330334229
100,0.7101385120666176,100.0,0.7528850498112285
101,0.9015600550955694,101.0,0.7395822299794836
102,0.7054488171822647,102.0,0.7510569237481298
103,0.8003726743759823,103.0,0.6215494276996313
104,0.893324258356775,104.0,0.4389438040000319
105,0.5717555105957087,105.0,0.8058077463447113
106,0.7585242756245096,106.0,0.7281619916062185
107,0.7415382625048952,107.0,0.8807174227687254
108,0.6472550658678999,108.0,0.7371764343543776
109,0.7148736414843124,109.0,0.7961905430882263
110,0.6606854920915417,110.0,0.6894549761207784
111,0.7221881828444474,111.0,0.7542544041293309
112,0.6053412693203276,112.0,0.6299454013361192
113,0.7495987366327505,113.0,0.6213787151902708
114,0.7660767132722246,114.0,0.8413291033227855
115,0.5934009407184011,115.0,0.8136930729812669
116,0.8904723087733465,116.0,0.44143860085260467
117,0.6483424046855595,117.0,0.48472844303568186
118,0.6156945074147671,118.0,0.7929535094613851
119,0.8100462076775261,119.0,0.683512090356419
120,0.7394420506177877,120.0,0.6451907174409216
121,0.6881894985334254,121.0,0.7576149348522877
122,0.8437541493708767,122.0,0.7911590599445558
123,0.7607864194523604,123.0,0.820630383657757
124,0.8024247356866592,124.0,0.6814303060427827
125,0.5578832031678854,125.0,0.8268483405933849
126,0.797328481572114,126.0,0.8520779885461194
127,0.7483365308233766,127.0,0.635849256127852
128,0.7718585113110229,128.0,0.7084359057052952
129,0.8574347068891842,129.0,0.7296466067347568
130,0.6482826040315028,130.0,0.43941906801696023
131,0.6678088612613612,131.0,0.8385327892953337
132,0.7877582727689197,132.0,0.7098686239303368
133,0.7746010764343683,133.0,0.5231854646194821
