query_gene	ref_gene	query_chr	ref_chr	query_index	ref_index	Type
gene:Zm00001eb000010	gene:SORBI_3002G296100	1	2	1	3038	homo
gene:Zm00001eb000010	gene:SORBI_3007G206100	1	7	1	2149	homo
gene:Zm00001eb000010	gene:SORBI_3004G321700	1	4	1	3374	homo
gene:Zm00001eb000010	gene:SORBI_3002G028400	1	2	1	293	homo
gene:Zm00001eb000010	gene:SORBI_3004G206200	1	4	1	2145	homo
gene:Zm00001eb000010	gene:SORBI_3009G131600	1	9	1	1356	homo
gene:Zm00001eb000020	gene:SORBI_3002G280200	1	2	2	2870	homo
gene:Zm00001eb000020	gene:SORBI_3007G139100	1	7	2	1460	homo
gene:Zm00001eb000020	gene:SORBI_3004G001400	1	4	2	13	homo
gene:Zm00001eb000020	gene:SORBI_3005G111100	1	5	2	1204	homo
gene:Zm00001eb000020	gene:SORBI_3003G197600	1	3	2	2068	homo
gene:Zm00001eb000020	gene:SORBI_3010G218900	1	10	2	2302	homo
gene:Zm00001eb000070	gene:SORBI_3001G384700	1	1	5	4033	homo
gene:Zm00001eb000080	gene:SORBI_3002G116000	1	2	6	1180	homo
gene:Zm00001eb000080	gene:SORBI_3010G022600	1	10	6	225	homo
gene:Zm00001eb000080	gene:SORBI_3001G239500	1	1	6	2481	homo
gene:Zm00001eb000080	gene:SORBI_3010G093400	1	10	6	972	homo
gene:Zm00001eb000080	gene:SORBI_3010G047700	1	10	6	481	homo
gene:Zm00001eb000080	gene:SORBI_3004G238600	1	4	6	2489	homo
gene:Zm00001eb000100	gene:SORBI_3010G007100	1	10	7	69	homo
gene:Zm00001eb000100	gene:SORBI_3001G508000	1	1	7	5342	homo
gene:Zm00001eb000100	gene:SORBI_3001G236300	1	1	7	2449	homo
gene:Zm00001eb000100	gene:SORBI_3001G501300	1	1	7	5266	homo
gene:Zm00001eb000100	gene:SORBI_3001G508300	1	1	7	5345	homo
gene:Zm00001eb000100	gene:SORBI_3007G125200	1	7	7	1314	homo
gene:Zm00001eb000100	gene:SORBI_3010G272800	1	10	7	2871	homo
gene:Zm00001eb000100	gene:SORBI_3010G223200	1	10	7	2347	homo
gene:Zm00001eb000100	gene:SORBI_3006G111600	1	6	7	1160	homo
gene:Zm00001eb000100	gene:SORBI_3006G135900	1	6	7	1420	homo
gene:Zm00001eb000100	gene:SORBI_3010G092900	1	10	7	967	homo
gene:Zm00001eb000100	gene:SORBI_3009G256500	1	9	7	2643	homo
gene:Zm00001eb000100	gene:SORBI_3004G335000	1	4	7	3515	homo
gene:Zm00001eb000100	gene:SORBI_3010G057900	1	10	7	592	homo
gene:Zm00001eb000100	gene:SORBI_3003G195000	1	3	7	2044	homo
gene:Zm00001eb000100	gene:SORBI_3009G162600	1	9	7	1673	homo
gene:Zm00001eb000100	gene:SORBI_3005G098800	1	5	7	1016	homo
gene:Zm00001eb000100	gene:SORBI_3003G352900	1	3	7	3706	homo
gene:Zm00001eb000100	gene:SORBI_3002G428200	1	2	7	4381	homo
gene:Zm00001eb000100	gene:SORBI_3006G216800	1	6	7	2262	homo
gene:Zm00001eb000110	gene:SORBI_3003G395600	1	3	8	4163	homo
gene:Zm00001eb000140	gene:SORBI_3004G220600	1	4	10	2298	homo
gene:Zm00001eb000140	gene:SORBI_3004G220500	1	4	10	2297	homo
gene:Zm00001eb000140	gene:SORBI_3004G220700	1	4	10	2299	homo
gene:Zm00001eb000140	gene:SORBI_3004G220400	1	4	10	2296	homo
gene:Zm00001eb000140	gene:SORBI_3006G148900	1	6	10	1563	homo
gene:Zm00001eb000140	gene:SORBI_3004G220300	1	4	10	2295	homo
gene:Zm00001eb000140	gene:SORBI_3001G160500	1	1	10	1670	homo
gene:Zm00001eb000140	gene:SORBI_3006G148800	1	6	10	1562	homo
gene:Zm00001eb000170	gene:SORBI_3001G544500	1	1	13	5729	shared_gene_pairs
gene:Zm00001eb000180	gene:SORBI_3001G544600	1	1	12	5730	shared_gene_pairs
gene:Zm00001eb000180	gene:SORBI_3004G025800	1	4	12	271	homo
gene:Zm00001eb000180	gene:SORBI_3010G193600	1	10	12	2044	homo
gene:Zm00001eb000200	gene:SORBI_3001G544400	1	1	14	5728	shared_gene_pairs
gene:Zm00001eb000190	gene:SORBI_3001G544300	1	1	15	5727	shared_gene_pairs
gene:Zm00001eb000210	gene:SORBI_3001G543900	1	1	16	5723	shared_gene_pairs
gene:Zm00001eb000210	gene:SORBI_3008G190500	1	8	16	1997	homo
gene:Zm00001eb000210	gene:SORBI_3001G132400	1	1	16	1373	homo
gene:Zm00001eb000210	gene:SORBI_3002G065000	1	2	16	670	homo
gene:Zm00001eb000210	gene:SORBI_3006G247100	1	6	16	2580	homo
gene:Zm00001eb000210	gene:SORBI_3007G087700	1	7	16	907	homo
gene:Zm00001eb000210	gene:SORBI_3010G207800	1	10	16	2188	homo
gene:Zm00001eb000210	gene:SORBI_3003G436400	1	3	16	4579	homo
gene:Zm00001eb000210	gene:SORBI_3004G331500	1	4	16	3479	homo
gene:Zm00001eb000210	gene:SORBI_3001G519300	1	1	16	5459	homo
gene:Zm00001eb000210	gene:SORBI_3001G480700	1	1	16	5046	homo
gene:Zm00001eb000210	gene:SORBI_3010G063700	1	10	16	651	homo
gene:Zm00001eb000210	gene:SORBI_3001G539400	1	1	16	5673	homo
gene:Zm00001eb000210	gene:SORBI_3009G020900	1	9	16	208	homo
gene:Zm00001eb000210	gene:SORBI_3001G167100	1	1	16	1736	homo
gene:Zm00001eb000210	gene:SORBI_3009G183200	1	9	16	1894	homo
gene:Zm00001eb000210	gene:SORBI_3008G014100	1	8	16	143	homo
gene:Zm00001eb000210	gene:SORBI_3008G147300	1	8	16	1547	homo
gene:Zm00001eb000210	gene:SORBI_3001G247300	1	1	16	2563	homo
gene:Zm00001eb000210	gene:SORBI_3005G028400	1	5	16	278	homo
gene:Zm00001eb000220	gene:SORBI_3001G543800	1	1	17	5722	shared_gene_pairs
gene:Zm00001eb000220	gene:SORBI_3006G168400	1	6	17	1762	homo
gene:Zm00001eb000220	gene:SORBI_3004G296700	1	4	17	3111	homo
gene:Zm00001eb000220	gene:SORBI_3010G168600	1	10	17	1781	homo
gene:Zm00001eb000220	gene:SORBI_3001G323300	1	1	17	3405	homo
gene:Zm00001eb000220	gene:SORBI_3001G468500	1	1	17	4920	homo
gene:Zm00001eb000220	gene:SORBI_3010G064100	1	10	17	656	homo
gene:Zm00001eb000230	gene:SORBI_3001G543700	1	1	18	5721	shared_gene_pairs
gene:Zm00001eb000230	gene:SORBI_3001G296400	1	1	18	3116	homo
gene:Zm00001eb000240	gene:SORBI_3001G543500	1	1	19	5719	shared_gene_pairs
gene:Zm00001eb000240	gene:SORBI_3001G297600	1	1	19	3127	homo
gene:Zm00001eb000240	gene:SORBI_3002G004900	1	2	19	49	homo
gene:Zm00001eb000240	gene:SORBI_3007G061800	1	7	19	644	homo
gene:Zm00001eb000240	gene:SORBI_3005G171200	1	5	19	1815	homo
gene:Zm00001eb000240	gene:SORBI_3010G030600	1	10	19	308	homo
gene:Zm00001eb000240	gene:SORBI_3003G192200	1	3	19	2019	homo
gene:Zm00001eb000240	gene:SORBI_3004G332700	1	4	19	3491	homo
gene:Zm00001eb000240	gene:SORBI_3001G454100	1	1	19	4765	homo
gene:Zm00001eb000240	gene:SORBI_3002G338500	1	2	19	3463	homo
gene:Zm00001eb000240	gene:SORBI_3001G190200	1	1	19	1973	homo
gene:Zm00001eb000240	gene:SORBI_3002G201900	1	2	19	2062	homo
gene:Zm00001eb000240	gene:SORBI_3004G049300	1	4	19	515	homo
gene:Zm00001eb000240	gene:SORBI_3009G152800	1	9	19	1565	homo
gene:Zm00001eb000240	gene:SORBI_3006G101900	1	6	19	1056	homo
gene:Zm00001eb000240	gene:SORBI_3006G102800	1	6	19	1067	homo
gene:Zm00001eb000240	gene:SORBI_3006G102300	1	6	19	1060	homo
gene:Zm00001eb000240	gene:SORBI_3002G073600	1	2	19	757	homo
gene:Zm00001eb000240	gene:SORBI_3006G003600	1	6	19	35	homo
gene:Zm00001eb000240	gene:SORBI_3006G102400	1	6	19	1061	homo
gene:Zm00001eb000320	gene:SORBI_3001G543300	1	1	25	5717	shared_gene_pairs
gene:Zm00001eb000320	gene:SORBI_3004G337200	1	4	25	3537	homo
gene:Zm00001eb000320	gene:SORBI_3006G222100	1	6	25	2321	homo
gene:Zm00001eb000320	gene:SORBI_3002G226900	1	2	25	2324	homo
gene:Zm00001eb000330	gene:SORBI_3001G543200	1	1	26	5716	shared_gene_pairs
gene:Zm00001eb000340	gene:SORBI_3001G542400	1	1	27	5707	shared_gene_pairs
gene:Zm00001eb000340	gene:SORBI_3001G299700	1	1	27	3150	homo
gene:Zm00001eb000360	gene:SORBI_3003G058800	1	3	28	612	homo
gene:Zm00001eb000370	gene:SORBI_3001G542200	1	1	29	5705	shared_gene_pairs
gene:Zm00001eb000370	gene:SORBI_3001G300400	1	1	29	3159	homo
gene:Zm00001eb000370	gene:SORBI_3001G300700	1	1	29	3163	homo
gene:Zm00001eb000370	gene:SORBI_3001G300900	1	1	29	3166	homo
gene:Zm00001eb000370	gene:SORBI_3001G300500	1	1	29	3161	homo
gene:Zm00001eb000370	gene:SORBI_3001G300800	1	1	29	3165	homo
gene:Zm00001eb000370	gene:SORBI_3004G191600	1	4	29	1991	homo
gene:Zm00001eb000370	gene:SORBI_3001G542100	1	1	29	5703	homo
gene:Zm00001eb000370	gene:SORBI_3001G301300	1	1	29	3170	homo
gene:Zm00001eb000370	gene:SORBI_3001G301000	1	1	29	3167	homo
gene:Zm00001eb000370	gene:SORBI_3001G301500	1	1	29	3172	homo
gene:Zm00001eb000370	gene:SORBI_3001G301600	1	1	29	3173	homo
gene:Zm00001eb000370	gene:SORBI_3001G301400	1	1	29	3171	homo
gene:Zm00001eb000370	gene:SORBI_3001G306500	1	1	29	3224	homo
gene:Zm00001eb000370	gene:SORBI_3001G306400	1	1	29	3223	homo
gene:Zm00001eb000370	gene:SORBI_3001G306200	1	1	29	3221	homo
gene:Zm00001eb000370	gene:SORBI_3004G294500	1	4	29	3088	homo
gene:Zm00001eb000370	gene:SORBI_3004G294300	1	4	29	3086	homo
gene:Zm00001eb000370	gene:SORBI_3004G294400	1	4	29	3087	homo
gene:Zm00001eb000370	gene:SORBI_3001G539600	1	1	29	5675	homo
gene:Zm00001eb000380	gene:SORBI_3001G542100	1	1	30	5703	shared_gene_pairs
gene:Zm00001eb000380	gene:SORBI_3001G300900	1	1	30	3166	homo
gene:Zm00001eb000380	gene:SORBI_3001G300500	1	1	30	3161	homo
gene:Zm00001eb000380	gene:SORBI_3004G191600	1	4	30	1991	homo
gene:Zm00001eb000380	gene:SORBI_3001G300700	1	1	30	3163	homo
gene:Zm00001eb000380	gene:SORBI_3001G300800	1	1	30	3165	homo
gene:Zm00001eb000380	gene:SORBI_3001G301300	1	1	30	3170	homo
gene:Zm00001eb000380	gene:SORBI_3001G301500	1	1	30	3172	homo
gene:Zm00001eb000380	gene:SORBI_3001G301600	1	1	30	3173	homo
gene:Zm00001eb000380	gene:SORBI_3001G300400	1	1	30	3159	homo
gene:Zm00001eb000380	gene:SORBI_3001G301000	1	1	30	3167	homo
gene:Zm00001eb000380	gene:SORBI_3001G542200	1	1	30	5705	homo
gene:Zm00001eb000380	gene:SORBI_3001G306500	1	1	30	3224	homo
gene:Zm00001eb000380	gene:SORBI_3001G306200	1	1	30	3221	homo
gene:Zm00001eb000380	gene:SORBI_3001G306400	1	1	30	3223	homo
gene:Zm00001eb000380	gene:SORBI_3001G301400	1	1	30	3171	homo
gene:Zm00001eb000380	gene:SORBI_3001G540000	1	1	30	5681	homo
gene:Zm00001eb000380	gene:SORBI_3001G539880	1	1	30	5679	homo
gene:Zm00001eb000380	gene:SORBI_3001G539820	1	1	30	5678	homo
gene:Zm00001eb000380	gene:SORBI_3001G539700	1	1	30	5676	homo
gene:Zm00001eb000390	gene:SORBI_3001G541900	1	1	31	5701	shared_gene_pairs
gene:Zm00001eb000390	gene:SORBI_3001G302800	1	1	31	3186	homo
gene:Zm00001eb000390	gene:SORBI_3007G044300	1	7	31	464	homo
gene:Zm00001eb000390	gene:SORBI_3003G185100	1	3	31	1947	homo
gene:Zm00001eb000390	gene:SORBI_3004G193000	1	4	31	2006	homo
gene:Zm00001eb000390	gene:SORBI_3001G444100	1	1	31	4658	homo
gene:Zm00001eb000390	gene:SORBI_3001G111150	1	1	31	1149	homo
gene:Zm00001eb000390	gene:SORBI_3002G000800	1	2	31	8	homo
gene:Zm00001eb000390	gene:SORBI_3003G076200	1	3	31	798	homo
gene:Zm00001eb000390	gene:SORBI_3001G443900	1	1	31	4656	homo
gene:Zm00001eb000390	gene:SORBI_3001G276300	1	1	31	2912	homo
gene:Zm00001eb000390	gene:SORBI_3001G276400	1	1	31	2913	homo
gene:Zm00001eb000390	gene:SORBI_3004G260500	1	4	31	2725	homo
gene:Zm00001eb000390	gene:SORBI_3001G276100	1	1	31	2910	homo
gene:Zm00001eb000390	gene:SORBI_3001G223100	1	1	31	2320	homo
gene:Zm00001eb000390	gene:SORBI_3001G275800	1	1	31	2906	homo
gene:Zm00001eb000390	gene:SORBI_3001G032000	1	1	31	321	homo
gene:Zm00001eb000390	gene:SORBI_3001G444000	1	1	31	4657	homo
gene:Zm00001eb000390	gene:SORBI_3001G511000	1	1	31	5374	homo
gene:Zm00001eb000390	gene:SORBI_3001G223200	1	1	31	2321	homo
gene:Zm00001eb000400	gene:SORBI_3001G541700	1	1	32	5699	shared_gene_pairs
gene:Zm00001eb000400	gene:SORBI_3001G303750	1	1	32	3194	homo
gene:Zm00001eb000400	gene:SORBI_3001G303200	1	1	32	3190	homo
gene:Zm00001eb000400	gene:SORBI_3001G302400	1	1	32	3181	homo
gene:Zm00001eb000400	gene:SORBI_3001G302500	1	1	32	3182	homo
gene:Zm00001eb000400	gene:SORBI_3001G302732	1	1	32	3185	homo
gene:Zm00001eb000400	gene:SORBI_3001G302666	1	1	32	3184	homo
gene:Zm00001eb000400	gene:SORBI_3002G008200	1	2	32	83	homo
