chr	length	total_gene
CAJGYO010000001.1	144624297	5347
CAJGYO010000002.1	141797626	5352
CAJGYO010000003.1	122330789	4322
CAJGYO010000004.1	108741605	3766
CAJGYO010000005.1	119689306	4236
CAJGYO010000006.1	113455120	4226
CAJGYO010000007.1	150811276	5429
CAJGYO010000008.1	90590548	3328
CAJGYO010000009.1	115207000	2902
CAJGYO010000010.1	130888329	3439
CAJGYO010000011.1	75828887	2579
CAJGYO010000012.1	83158305	2801
CAJGYO010000013.1	74599310	2129
CAJGYO010000014.1	94845455	2692
CAJGYO010000015.1	61782722	1673
CAJGYO010000016.1	79875055	2446
CAJGYO010000017.1	78232433	2650
CAJGYO010000018.1	88986391	2933
CAJGYO010000019.1	81019333	2492
